,kod_pkd,opis,labels
25282,2454,produkcją odlewów ze stopów niklu dla elementów elektromechanicznych.,157
40717,1511,firma zajmuje się odwapnianiem i piklowaniem skór,57
28554,2363,firma zajmuje się produkcja betonu klasy c50 do konstrukcji specjalnych,133
59067,1814,firma zajmuje się laminacją i foliowaniem folderów,83
80568,1812,produkcja i druk graficzny oraz inna działalność będąca naturalnym przedłużeniem tego.,81
47757,1624,firma zajmuje się tworzeniem skrzyń transportowych z buku,66
14693,1071,"branża: cukiernictwo | produkty: torty, ciasta, lody, słodkie stoły weselne, inne wyroby cukiernicze | usługi: produkcja tortów, ciast i lodów",13
74146,3220,firma zajmuje się produkcją akordeonów.,246
109647,3312,"cenimy prywatność użytkowników używamy plików cookie, aby poprawić jakość przeglądania, wyświetlać reklamy lub treści dostosowane do indywidualnych potrzeb użytkowników oraz analizować ruch na stronie. kliknięcie przycisku „akceptuj wszystkie” oznacza zgodę na wykorzystywanie przez nas plików cookie. dostosuj odrzuć wszystkie akceptuj wszystko strona główna oferta realizacje sklep kontakt części do maszyn górniczych, budowlanych, leśnych. serwis układów napędowych witamy w f.h.u paweł wojcik, gł",253
9272,1392,produkcja kilimów awangardowych,37
695,3030,"branża: lotnicza | produkty: samoloty ultralekkie (kr-030 topz, kr-010 elf, jk-05l junior) | usługi: brak",231
93307,1330,"sprzedaż odzieży profilowej, artykułów promocyjnych i prezentów. produkcja chórów wizerunkowych, druk wielkoformatowy, usługi graficzne, systemy wystawiennicze, oznakowanie zewnętrzne i wewnętrzne.",35
78582,1020,"produkcja i sprzedaż artykułów spożywczych, w tym catering, a także zakup i sprzedaż towarów i usług, które w sposób naturalny podlegają tej kategorii.",3
96793,1105,"produkuj piwo i napoje alkoholowe objęte tym zakresem. prowadź kursy, które naturalnie należą do branży.",29
8533,1073,produkcja klusek z ziemniaków,15
24653,2599,"branża: budownictwo | produkty: brak | usługi: konstrukcje i urządzeń ze stali kwasoodpornej, usługi budowlane, projektowanie konstrukcji",179
48381,1628,firma zajmuje się produkcja drewnianych kołków i elementów montażowych,70
22491,2445,produkcją pozostałych metali nieżelaznych w postaci sztab.,152
85007,2711,"niezależnie lub we współpracy z innymi, aby być w całości lub w części właścicielem firm, które opracowują, wytwarzają i sprzedają produkty elektrotechniczne, obiekty i usługi w norwegii i za granicą, lub w inny sposób być zainteresowanymi przedsiębiorstw",190
10155,2221,produkcja folii barierowych z celofanu,107
82626,1623,"produkcja i sprzedaż domów i domków letniskowych, w tym w szczególności domów i domków letniskowych z drewna listewowego, prace ogrodzeniowe i restauratorskie oraz inna działalność z tym związana, w tym poprzez subskrypcje udziałów w celu zainteresowania",65
90232,2361,"budowa, produkcja i montaż konstrukcji stalowych i betonowych, a także prace wykończeniowe i montaż systemów wentylacyjnych. skup ryb na aukcjach rybnych i eksport ryb.",131
99363,1071,produkcja i sprzedaż domowych wyrobów cukierniczych i ciast.,13
10354,1084,produkcja sosów majonezowych smakowych,19
47448,1612,firma zajmuje się obróbką chemiczną desek,62
21170,2442,produkcją tlenku glinu dla włókien światłowodowych.,149
78892,1071,"produkcja i sprzedaż wypieków, ciast i ciastek. krawcowa. projekt graficzny. tworzenie artykułów papierniczych. prowadzenie restauracji/kawiarni.",13
16481,2370,produkcją płyt na place koncertowe z kamienia,138
5489,3011,produkcją dronów podwodnych do celów cywilnych.,227
6905,1104,przygotowaniem win aromatycznych musujących,28
83581,1071,wynajmę piekarnię z całym sprzętem potrzebnym do operacji. jestem piekarzem i większość produktów piekę sama.,13
107526,2370,renowacja/odświeżenie nagrobków i co obejmuje ten proces. wyprzedaż nowych kamieni i akcesoriów.,138
88809,3100,"produkcja przemysłowa, handel, zakup, sprzedaż i wynajem nieruchomości, w tym udział w innych spółkach zajmujących się podobną działalnością.",238
2484,1041,produkcja makuchów z pestek dyni,7
79253,2651,"opracowujemy, dostarczamy i instalujemy urządzenia komunikacyjne i monitorujące dla przemysłu offshore i morskiego, handlu związanego z takimi dostawami, a także udziału w innych przedsiębiorstwach o podobnej działalności.",185
89317,3011,"działalność agencyjna, ubezpieczeniowa oraz eksportowo-importowa i co z tym związane, w tym udział w podobnej działalności.",227
2316,1039,wytwarzaniem dżemów malinowych,6
18052,2612,produkcją kart interfejsu do monitorów.,181
68585,2343,firma zajmuje się produkcja ceramicznych izolatorów do linii przesyłowych,125
102032,3212,produkcja i sprzedaż ręcznie robionej biżuterii.,244
45261,2561,firma zajmuje się produkcją temperówek do ołówków (metalowych).,169
26748,2512,produkcją metalowych progów bezramowych.,159
90013,2341,produkcja wyrobów ceramicznych. samodzielna działalność artystyczna. sprzedaż wyrobów własnej produkcji.,123
92668,2553,"warsztat rolniczy, w tym wynajmuję innym firmom jako mechanik przemysłowy i spawacz.",168
106127,2229,produkcja i sprzedaż artykułów z tworzyw sztucznych.,113
39870,1392,firma zajmuje się produkcja pościeli recyklingowanej,37
47616,1612,firma zajmuje się impregnacją bejcą elementów surowych,62
77138,1920,produkcja paliw stałych i płynnych z ropy naftowej,86
55470,2740,firma zajmuje się produkcją opraw oświetleniowych do hal przemysłowych.,196
47708,1624,firma zajmuje się fabrykacją palet skrzyniowych z sosny,66
30004,2390,firma zajmuje się produkcją kamieni szlifierskich do precyzyjnego ostrzenia.,139
17213,2399,produkcją wyrobów z różnych substancji mineralnych do zastosowań przemysłu spożywczego.,141
22872,2711,produkcją podstacji transformatorowych dla przemysłu.,190
31289,1032,firma zajmuje się produkcja soku z truskawek,5
54748,2640,firma zajmuje się produkcją konsol do gier wideo.,184
40546,1423,firma zajmuje się produkcja mundurów policyjnych,52
27283,2344,produkcja ceramicznych komponentów do energetyki,126
56019,2815,firma zajmuje się produkcją sprzęgieł hydraulicznych.,204
75199,2720,firma zajmuje się produkcją akumulatorów do pojazdów hybrydowych.,192
111167,2030,"branża: budownictwo | produkty: malowanie, dekorowanie, szablony dekoracyjne | usługi: szkolenia dla wykonawców i indywidualnych klientów | --- | branża: dekoracja wnętrz | produkty: tynki dekoracyjne, farby dekoracyjne | usługi: projektowanie wnętrz",94
16159,2370,produkcją parapetów z marmuru i granitu,138
67508,2226,firma zajmuje się produkcja spinek i klamerek z plastiku,112
3643,2522,produkcją metalowych zbiorników o pojemności 2000 litrów.,161
24824,1711,przygotowywaniem masy włóknistej do dalszych technologii papierniczych,72
90593,2892,"posiadanie nieruchomości, działalność deweloperska i wynajem nieruchomości, posiadanie udziałów w innych spółkach, inwestowanie w akcje i inne papiery wartościowe oraz inna działalność gospodarcza, która jest z tym naturalnie związana.",216
21467,1612,mechaniczną obróbką paneli,62
88520,2813,produkcja sprzętu dźwigowego na sprzedaż i wynajem. serwis i certyfikacja urządzeń dźwigowych. projektowanie i obliczanie urządzeń dźwigowych i operacji dźwigowych.,202
10933,1429,produkcja kapeluszy filcowych,54
20965,1611,heblowaniem drewna pod produkcję listew,61
67708,2341,firma zajmuje się produkcja kubków reklamowych z ceramiki,123
104612,2562,ostrzenie narzędzi skrawających.,170
26260,1812,drukowaniem zadrukowanych notesów firmowych,81
28192,2361,firma zajmuje się produkcja prefabrykowanych progów zwalniających betonowych,131
108799,2932,"przejdź do głównej sekcji strony przejdź do stopki strony lista czasopism lista autorów lista wydawców o projekcie wyszukiwanie zaawansowana wielkość liter interlinia mała średnia duża odstępy międzyliterowe małe średnie duże odkryj bogactwo wiedzy i kultury w bazie czasopism humanistycznych znajdziesz tutaj artykuły naukowe, fakty historyczne, analizy literackie i wiele więcej! wyszukiwanie zaawansowane czym jest bazhum? bazhum to pełnotekstowa i bibliograficzna baza polskich czasopism naukowyc",226
27979,2352,produkcja wapna palonego energetycznego,130
77211,2226,produkcja i sprzedaż konstrukcji z kompozytu.,112
13556,1092,produkcja karmy dla ptaków egzotycznych z dodatkiem owoców,24
73869,3092,firma zajmuje się produkcją wózków inwalidzkich sportowych.,236
45522,2591,firma zajmuje się produkcją bębnów metalowych z pokrywami.,175
57495,3012,firma zajmuje się produkcją łodzi nadmuchiwanych dla wędkarzy.,228
56180,2829,firma zajmuje się produkcją uszczelek i przekładek technicznych.,210
4355,3311,naprawą i konserwacją wytwornic pary o małej mocy.,252
1114,1013,produkcja saveloy z mięsa wieprzowego i wołowego,2
25474,1721,produkcja opakowań kartonowych na wino i alkohole,74
49244,1724,firma zajmuje się produkcja papierowych pokryć ściennych o dużej gramaturze,77
11104,3109,"branża: meble | produkty: meble, krzesła, stoły, łóżka, szafy | usługi: produkcja mebli, projektowanie wnętrz",242
435,1011,segregacją i porcjowaniem mięsa świeżego,0
20723,3109,"branża: meble | produkty: łóżka hotelowe, tapczany hotelowe, materace, nakładki ochronne na materac, sofy, zestawy wypoczynkowe, kanapy, krzesła, hokery, stoliki do restauracji | usługi: produkcja mebli, sprzedaż hurtowa mebli, dostawa mebli",242
26249,1812,drukowaniem ozdobnych przywieszek okolicznościowych,81
4703,1085,produkcja gotowych dań śródziemnomorskich,20
23830,2511,"branża: przemysł maszynowy | produkty: sprężyny łukowe, sprężyny naciskowe, sprężyny płaskie, sprężyny śrubowe, sprężyny skrętne, sprężyny rozciągane, zespoły sprężyn | usługi: brak | --- | branża: produkcja sprężyn | produkty: sprężyny, zespoły sprężyn,",158
69869,2391,wytwarzaniem kamieni młyńskich dla przemysłu ceramicznego (bez opraw).,140
15780,1725,produkcja etykiet z papieru recyklingowego,78
83631,1421,"sprzedaż odzieży domowej roboty (swetry, spodnie, t-shirty, czapki itp.). sprzedaż pustych produktów z własnoręcznie wykonanym tekstem/obrazkiem z winylu (np. ubrania, siatki na zakupy, fartuchy do pieczenia, czapki, kubki, breloki do kluczy, termosy, tab",50
77790,1421,"produkcja obuwia do garniturów i bielizny. produkcja garniturów i bielizny. naprawa i konserwacja obuwia, garniturów i bielizny. sprzedaż tekstyliów, skór, skór i tego co naturalnie należy do ww. produktów. wykłady, zajęcia dydaktyczne i zadania praktyczn",50
83819,1082,produkcja i sprzedaż czekolady oraz innych artykułów spożywczych.,17
79153,2553,spawanie i obróbka drewna.,168
25214,1712,produkcja laminatów papierowych stosowanych w przemyśle,73
24992,2221,produkcja płyt komórkowych z tworzyw,107
98692,2562,"montaż stali, produkcja i naprawy spawalnicze.",170
4572,2451,"branża: odlewnictwo | produkty: włazy żeliwne klasa d400 z pokrywą o 640 h30/50, klasa d400 z pokrywą o 640 h50, klasa d400 z pokrywą o 680, klasa c250 z pokrywą o 640, klasa b125 z pokrywą o 640, klasa a15 | usługi: brak informacji",154
89597,2599,działalność inwestycyjna i działalność z nią związana.,179
28362,2362,firma zajmuje się produkcja płyt gk wzmocnionych włóknem szklanym,132
107341,3299,"branża: produkcja elementów mechanicznych z tworzyw sztucznych i stali. toczenie, frezowanie i wiercenie różnorodnych produktów dla przemysłu mechanicznego.",251
13539,2224,produkcja brodzików akrylowych,110
23906,2899,produkcją maszyn do produkcji przędzy szklanej.,222
84332,1083,palenie surowej kawy na sprzedaż osobom prywatnym i innym firmom. niektóre zajęcia kursowe na tematy związane z kawą.,18
18523,2612,montażem elementów biernych dla oświetlenia.,181
84258,1013,produkcja mięsa i przetworów mięsnych. pakowanie i rozbiór tusz.,2
262,1085,produkcja gotowych dań gotowanych i zamrożonych,20
47747,1624,firma zajmuje się fabrykacją skrzyń drewnianych na dokumentację,66
41623,2060,produkcja włókien poliestrowych i poliamidowych,101
90258,1011,funkcjonowanie nowoczesnych zakładów mięsnych i co się z tym wiąże.,0
87033,2562,"pl kontakt: k.bojarski@partnertorun.pl +48 790 333 322 strona główna o nas oferta kontakt strona głównao nas informacje o firmie partner toruń witaj w partner toruń! jesteśmy firmą świadczącą usługi spawalnicze. wyróżniamy się wieloletnim doświadczeniem, elastycznym podejściem do inwestorów oraz gwarantowanym terminem realizacji zleceń, zarówno tych mniejszych, jak i większych. zawsze stawiamy również na wysoką jakość prac, dlatego opieramy naszą działalność o nowoczesne technologie i wysoko wyk",170
23380,1729,"branża: produkcja etykiet samoprzylepnych | produkty: etykiety samoprzylepne, folie termotransferowe, drukarki etykiet | usługi: serwis i pomoc techniczna",79
11412,1512,produkcja toreb ręcznych damskich,58
77316,2822,"posiadaj i zarządzaj udziałami w innych spółkach oraz tym, co jest z tym naturalnie związane.",206
20589,2651,produkcją czujników dymu dla systemów alarmowych.,185
80205,2551,pojazd do obróbki antykorozyjnej. obróbka powierzchniowa metali.,166
48405,1628,firma zajmuje się produkcja ornamentów z drewna intarsjowanego,70
80558,1020,inwestycja w akcje i majątek.,3
19778,2894,produkcją maszyn do składania tkanin.,218
69065,2345,firma zajmuje się produkcja ceramicznych beczek do produktów fermentacyjnych,127
9866,2573,produkcją narzędzi do pras (np. wykrojników).,174
16178,1042,produkcja margaryny z mieszanki tłuszczów zwierzęcych i roślinnych,8
110702,2511,"strona główna | jak do nas trafić o firmie aktualności realizacje produkcja - usługi kontakt jak do nas trafić wyświetl większą mapę produkty i usługi stolarka aluminiowa stolarka stalowa balustrady nierdzewne budowlane szybki kontakt z.i.m. zimont zakład inżynieryjno-montażowy ul. ogrodowa 1, 41-219 sosnowiec tel/fax: +48 32 296 91 91 e-mail: zimont@zimont.pl facebook zimont zimont 2021",158
5413,3315,naprawą i konserwacją kutrów rybackich.,256
44975,2540,firma zajmuje się usuwaniem zgorzeliny z odlewów.,164
54802,2640,firma zajmuje się produkcją telewizorów z płaskim ekranem.,184
5331,2540,przycinaniem wyrobów hutniczych.,164
16598,1052,produkcja lodów śmietankowych bez laktozy,10
48878,1721,firma zajmuje się produkcja pudeł składanych typu rigid box,74
4414,1083,pakowaniem kawy do saszetek,18
15102,1032,produkcja soków z owoców egzotycznych,5
84251,1626,"prowadzenie produkcji biociepla w oparciu o drewno, wycinkę lasów i inną pielęgnację lasu, kupno i sprzedaż udziałów.",68
100505,1610,produkcja i sprzedaż słupów.,60
11615,1520,produkcja elementów drewnianych do butów,59
58525,1811,firma zajmuje się drukowaniem codziennych biuletynów informacyjnych,80
33154,1091,firma zajmuje się produkcja zywnośći (paszy) dla zwierząt,23
26861,1011,ubijaniem owiec i jagniąt,0
9422,1393,produkcja dywanów technicznych,38
47157,1622,firma zajmuje się fabrykacją gotowych podłóg parkietowych z wengé,64
104319,1392,tkanie dywanów i chodników.,37
74984,3319,"firma zajmuje się naprawą palet, bębnów (transportowych), automatów (do gier hazardowych).",260
22922,1812,drukowaniem zdobień na ceramice użytkowej,81
99467,1413,"działalność krawiecka, naprawa obuwia, segregowanie kluczy oraz sprzątanie i pranie.",46
100638,2370,"skup, sprzedaż i obróbka kamienia.",138
14787,1032,produkcja soków warzywnych mieszanych,5
33145,1091,firma zajmuje się produkcja paszy dla kur niosek,23
6239,2814,produkcją zaworów odcinających do umywalek.,203
100662,1419,produkcja i sprzedaż odzieży oraz akcesoriów.,48
87749,1011,"firmy produkty aktualności usługi opinie kontakt zaloguj dodaj pl aaa o nas home kontakt o nas firmy produkty aktualności usługi opinie szukasz sprawdzonej firmy? sprawdź bazę firm scoreo. poznaj aktualne dane kontaktowe, opinie, informacje finansowe i ofertę. szukasz dobrych produktów? sprawdź bazę produktów scoreo. poznaj aktualne oferty, opinie i dane kontaktowe firm. szukasz aktualnych informacji? sprawdź najnowsze publikacje firm w scoreo. poznaj aktualne treści, opinie i dane kontaktowe fi",0
90798,2511,"prowadzenie warsztatu spawalniczego oraz zakup i sprzedaż stali, okuć i wszystkiego, co z tym związane.",158
81021,2899,"działalność handlowa, importowa, eksportowa, produkcyjna, agencyjna i co z nią związane, w tym udział w innych spółkach i przedsiębiorstwach.",222
40842,1520,firma zajmuje się produkcja butów młodzieżowych,59
45691,2593,firma zajmuje się produkcją elektrod do spawania łukowego.,177
106882,1419,handel: ręczna produkcja i sprzedaż odzieży.,48
45249,2561,firma zajmuje się produkcją noży kuchennych.,169
20651,2442,produkcją aluminium stopowego dla budownictwa.,149
93462,1424,"artykuły rekreacyjne, produkcja i sprzedaż siedzisk ze skóry renifera.",53
77354,2361,"przemysł, handel, transport, kontraktacja i co z tym związane, a także uczestnictwo jako udziałowiec lub w inny sposób poprzez inwestowanie w inne spółki.",131
25706,1721,produkcja kartonów dla branży logistycznej,74
3302,3230,produkcją sprzętu gimnastycznego.,247
102267,2573,sprzedaż narzędzi i sprzętu do hobby technicznego i tego co się z tym naturalnie wiąże.,174
49220,1723,firma zajmuje się tworzeniem pustych kart pocztowych w dużych seriach,76
13804,2593,produkcją drutu kolczastego do zabezpieczeń.,177
38987,1105,firma zajmuje się produkcja piwa tripel belgijskiego,29
9820,1395,produkcja włóknin designerskich ekskluzywnych,40
74603,3318,firma zajmuje się naprawą wojskowych pojazdów amfibijnych.,259
3955,2932,produkcją siedzeń do pojazdów silnikowych.,226
5203,2561,"branża: obróbka skrawaniem | produkty: brak | usługi: obróbka skrawaniem cnc, spawanie, frezowanie cnc, projektowanie i planowanie produkcji",169
83548,1623,"tartak, obróbka drewna i fabryki, a także wszystko, co z tym związane.",65
90614,2120,"opracowywanie, marketing i sprzedaż profilaktycznego leczenia alloimmunologicznej plamicy małopłytkowej płodu/noworodka (fnait) oraz powiązana diagnostyka i powiązane działania.",103
73770,3091,firma zajmuje się produkcją hamulców do motocykli.,235
18063,2892,produkcją maszyn do obróbki minerałów poprzez sortowanie.,216
60644,2221,firma zajmuje się produkcja płyt z tworzyw sztucznych do podłóg technicznych,107
8746,1330,obróbką chemiczną włókien,35
55703,2790,firma zajmuje się produkcją ochronników przeciwprzepięciowych do fotowoltaiki (elementy).,199
79141,1812,"działalność poligraficzna i każda inna działalność wchodząca w zakres tej działalności, a także udział w innych spółkach.",81
24210,1628,intarsją szkatułek artystycznych,70
19935,2431,szlifowaniem prętów do produkcji czopów.,144
41439,2060,produkcja włókien ciągłych do produkcji siatek,101
45817,2594,firma zajmuje się produkcją podkładek do elementów sprężystych.,178
19667,1910,destylacją produktów koksowniczych,85
25279,2454,produkcją odlewów ze stopów niklu do narzędzi chirurgicznych.,157
39402,1310,firma zajmuje się barwieniem runa wełnianego,33
90452,1041,"produkcja i sprzedaż produktów naturalnych, takich jak olej rybny, suplementy diety i inne produkty, które w naturalny sposób się z tym pokrywają, w tym uczestnictwo w innych spółkach o podobnej działalności, kupno i sprzedaż udziałów lub zainteresowanie",7
4816,2540,wytłaczaniem profili aluminiowych.,164
48354,1628,firma zajmuje się produkcja korkowych tablic i płyt ściennych,70
40576,1424,firma zajmuje się produkcja puf futrzanych,53
103490,3230,rozwój i sprzedaż toreb myśliwskich.,247
92242,2640,"produkcja i sprzedaż różnorodnych towarów konsumpcyjnych i wyposażenia wnętrz, fotografia i wideografia w zakresie fotografii rodzinnej i ślubnej, projektowanie i reklama, usługi w zakresie planowania i realizacji ślubów.",184
6812,2815,produkcją przekładni planetarnych.,204
74797,3220,"firma zajmuje się produkcją instrumentów perkusyjnych (bębnów, ksylofonów).",246
18227,1725,produkcja szpulek tekturowych wielkogabarytowych,78
103733,1071,"pieczenie i dekorowanie ciast. dostarcza wszystko, od cakepops po babeczki i torty weselne.",13
89284,3100,"projektowanie, produkcja, sprzedaż i montaż mebli. usługi wykończenia wnętrz: prace malarskie, stolarskie, wykończeniowe i wykończeniowe. sprzedaż materiałów budowlanych, wyrobów z drewna, drzwi, okien, narzędzi i innego sprzętu budowlanego i wyposażenia",238
43439,2441,firma zajmuje się produkcją półproduktów z metali szlachetnych do zastosowań katalitycznych.,148
19231,2630,produkcją anten yagi.,183
1622,3212,branża: jubilerstwo | produkty: biżuteria ze srebra i złota z bursztynem bałtyckim | usługi: certyfikacja amber classification system,244
48371,1628,firma zajmuje się produkcja drewnianych ram do kanw i płócien,70
102614,1610,"tartak. wycinka drewna, cięcie na wynajem, a także sprzedaż drewna.",60
44781,2522,firma zajmuje się produkcją metalowych zbiorników do wody pitnej o pojemności powyżej 300 litrów.,161
74830,3250,"firma zajmuje się produkcją sztucznych zębów, protetyki dentystycznej.",249
10504,1410,produkcja koszulek termoaktywnych,43
99234,2341,"usługi doradcze, a także inne produkty/usługi, które w sposób naturalny do nich należą, w tym uczestnictwo w innych spółkach o podobnej działalności oraz kupno i sprzedaż udziałów lub zainteresowanie się innymi spółkami w inny sposób.",123
28758,2364,firma zajmuje się produkcja zapraw budowlanych przemysłowych,134
32737,1086,firma zajmuje się pakowaniem obiadków dziecięcych do słoików,21
79077,2553,"spawanie i mechaniczne. renowacja budynków. wynajem maszyn i personelu. usługi dozorcy, a także to, co naturalnie wchodzi w ich zakres.",168
59957,2060,firma zajmuje się wytwarzaniem włókien staplowych dla nitek technicznych,101
23367,1627,polerowaniem ręcznym detali drewnianych do wnętrz luksusowych,69
46193,2630,firma zajmuje się produkcją urządzeń dla rozgłośni radiowych.,183
99073,2550,"produkcja i montaż ogrodzeń, bram, ulic. obsługa zapasów i materiałów, naprawy mechaniczne.",165
92884,2553,obróbka metalu. prace tokarskie i frezarskie.,168
69390,2352,firma zajmuje się produkcja wapna dla przemysłu cukrowniczego,130
9945,3299,"branża: handel | produkty: znicze, świece, wkłady do zniczy, podgrzewacze | usługi: brak",251
32811,1089,firma zajmuje się produkcja suplementów uspokajających,22
98298,1512,wykonanie siodeł. wykonywanie rzeczy ze skóry i skóry.,58
28368,2362,firma zajmuje się produkcja płyt gk do wnętrz użytkowych,132
108610,1011,"skip to content start o nas oferta galeria aktualności kontakt en pl o nas od 20 lat aktywnie działamy na rynku polskim i międzynarodowym, produkując tuszki oraz elementy mięsa drobiowego pozyskiwane z żywca kur niosek i kogutów. sprawdź naszą ofertę kim jesteśmy? jesteśmy nowoczesnym zakładem drobiarskim, specjalizującym się w uboju kur rosołowych i kogutów oraz ich mrożeniu i pakowaniu. własnym transportem odbieramy żywiec na terenie polski i europy a mrożone produkty z kur i kogutów eksportuj",0
57020,2910,firma zajmuje się produkcją silników wolnossących dla pojazdów.,223
7684,1107,tworzeniem miksów napojów letnich,31
103586,1629,obróbka wyrobów drewnianych metodą obróbki cnc.,71
21800,2443,produkcją blach grubych z cyny.,150
58205,1725,firma zajmuje się produkcja papierowych ozdób kolekcjonerskich,78
85227,1105,"rozwój i produkcja napojów alkoholowych. usługi doradcze w zakresie rozwoju koncepcji barowych. projektowanie, inżynieria i montaż systemów nagłaśniających.",29
42547,2223,produkcja rolet okiennych plastikowych,109
13385,2362,produkcja płyt gipsowo-kartonowych systemowych,132
657,1012,sortowaniem pierza drobiowego,1
99794,1105,doradztwo i wizyty w gospodarstwach rolnych ze szczególnym uwzględnieniem warzenia piwa i cydru. sprzedam własną produkcję cydru jabłkowego i gruszkowego.,29
55692,2790,firma zajmuje się produkcją przewodów przyłączeniowych usb.,199
57281,2931,firma zajmuje się produkcją alternatorów do pojazdów silnikowych.,225
19937,2432,produkcją wyrobów płaskich walcowanych na zimno o szerokości mniejszej niż 600 mm.,145
85448,2013,produkcja zabezpieczeń powierzchni narażonych na działanie lodu.,89
97214,1413,"odzież, projektowanie, produkcja odzieży, sprzedawanej w sklepie internetowym.",46
85348,1812,działalność w zakresie nieruchomości i inwestycji.,81
20289,1625,produkcja ościeżnic z drewna impregnowanego,67
40583,1424,firma zajmuje się produkcja toreb futrzanych,53
2758,1920,wytwarzaniem paliw transportowych,86
23725,2511,"branża: produkcja | produkty: kontenery biurowe, kontenery mieszkalne, kontenery handlowe, kontenery socjalne, kontenery szatniowe, kontenery strażówki | usługi: produkcja kontenerów",158
58947,1813,firma zajmuje się korektą redakcyjną przed drukiem,82
31620,1042,firma zajmuje się produkcja margaryny klasycznej,8
46724,2332,produkcja dachówek klasycznych z gliny,122
60087,2120,firma zajmuje się produkcja waty powleczonej substancjami leczniczymi,103
86104,2399,"zarządzanie majątkiem, w tym udział w innych spółkach i przedsiębiorstwach oraz handel.",141
87842,3099,"o firmie pojazdy elektryczne melex serwis części akumulatory kabiny i zabudowy kontakt ? współpracujemy ze sprawdzoną marką partner firmy melex mielec od ponad 30 lat tensi to synonim niezawodności i innowacji w świecie pojazdów elektrycznych. jako partner marki melex oferujemy nie tylko sprzedaż sprawdzonych pojazdów, ale także projektujemy i produkujemy nowoczesne kabiny oraz zabudowy dostosowane do twoich potrzeb. nasze doświadczenie oraz kompleksowa obsługa – od doradztwa po części i serwis",237
13464,2362,produkcja gipsowych tafli dla przemysłu budowlanego,132
6321,1102,produkcja win musujących w butelkach ciśnieniowych,26
3326,1061,produkcja mąki ryżowej hurtową,11
90544,1611,"drewno, produkcja drewna i tartaków, obróbka drewna i biznes z tym związany. zaangażowanie w inne spółki i biznesy.",61
40238,1399,firma zajmuje się produkcja zasłon tiulowych,42
92551,1107,"posiadaj, zarządzaj, inwestuj i zarządzaj nieruchomościami, posiadaj i inwestuj w firmy o podobnych celach, a także podejmuj inne inwestycje i inną działalność, która naturalnie wchodzi w ten zakres.",31
107913,2562,specjalna obróbka metali.,170
28031,2361,produkcja cegieł betonowych i pustaków,131
13274,3109,"branża: meble | produkty: meble hotelowe, meble biurowe, meble laboratoryjne, meble kuchenne, meble tapicerowane | usługi: produkcja mebli na zamówienie, sprzedaż katalogowa",242
30086,2391,firma zajmuje się produkcją osełek do ręcznego honowania cylindrów.,140
4300,3311,naprawą sprzętu zbrojeniowego.,252
43192,2432,firma zajmuje się produkcją wyrobów płaskich walcowanych na zimno dla telekomunikacji.,145
86465,2562,? o firmie zakres działania laboratorium badań dane osobowe rodo odpowiedzialność biznesu (csr) kontakt o firmie historia spółki nasze wartości struktura organizacyjna zarząd spółki uprawnienia i certyfikaty lokalizacja materiały do upłynnienia dokumenty do pobrania dofinansowanie z funduszy europejskich dla nowoczesnej gospodarki 2021 – 2027 dofinansowanie ze środków funduszu ubezpieczen społecznych dofinansowanie ze środków europejskiego funduszu rozwoju regionalnego dofinansowanie ze środków,170
81584,2221,"rozwijanie, produkcja i sprzedaż wyrobów z tworzyw sztucznych i co się z tym wiąże, w tym uczestnictwo w innych spółkach o podobnej działalności.",107
491,2225,malowaniem proszkowym plastiku,111
109423,2512,"cenimy prywatność użytkowników używamy plików cookie, aby poprawić jakość przeglądania, wyświetlać reklamy lub treści dostosowane do indywidualnych potrzeb użytkowników oraz analizować ruch na stronie. kliknięcie przycisku „akceptuj wszystkie” oznacza zgodę na wykorzystywanie przez nas plików cookie. dostosuj odrzucać akceptuj wszystko facebook-f 22 826 93 45 22 828 68 62 22 721 05 55 simprof@simprof.pl ul. estrady 3, 05-080 klaudyn (warszawa) strona główna o nas oferta wycena online realizacje",159
2598,2811,produkcją silników spalinowych tłokowych do jednostek pływających.,200
22951,1626,produkcja brykietów opałowych bezdymnych,68
20692,1622,tworzeniem desek parkietowych z buku parzonego,64
32633,1085,firma zajmuje się pakowaniem dań w słoiki,20
11704,2341,produkcja figurek z ceramiki szlachetnej,123
26558,2511,produkcją metalowych elementów dla konstrukcji portowych.,158
23631,1627,lakierowaniem i polerowaniem galanterii drewnianej,69
17282,1725,tworzeniem ozdób świątecznych z papieru i tektury,78
21013,1611,produkcja rezanego drewna do stolarki,61
21968,1083,produkcja herbaty czarnej ekologicznej,18
92962,2553,usługi konsultingowe w zakresie maszyn spawalniczych i narzędzi specjalnych.,168
88254,2511,"produkcja konstrukcji i części metalowych. produkcja zbiorników, cystern i innych pojemników metalowych. obróbka metali i produkcja wyrobów metalowych gdzie indziej niewymieniona.",158
23861,2452,odlewnictwem staliwa do produkcji wałów.,155
57314,2931,firma zajmuje się produkcją elektrycznych mechanizmów do otwierania klapy bagażnika.,225
100886,1413,"odzież i wnętrza, produkcja własna. agencja i doradztwo.",46
29871,2399,firma zajmuje się wytwarzaniem materiałów ciernych na bazie celulozy dla przemysłu motoryzacyjnego (niezamontowanych).,141
2566,3211,produkcją medali obiegowych.,243
45417,2573,firma zajmuje się produkcją narzędzi ręcznych (na przykład szczypiec).,174
2314,1039,produkcja batonów orzechowych,6
18551,2892,produkcją maszyn do mielenia minerałów.,216
